Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,Prev_Latitude,Prev_Longitude,Prev_In_Florida,Curr_In_Florida,Landfall_Detected
AL011936,UNNAMED,19360614,600,,TS,24.7,-86.2,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,24.3,-86.4,False,True,True
AL041936,UNNAMED,19360726,1800,,TD,25.0,-87.5,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,24.0,-86.0,False,True,True
AL051936,UNNAMED,19360729,0,,TS,25.2,-80.1,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,24.9,-79.4,False,True,True
AL091936,UNNAMED,19360821,1800,,TS,28.5,-79.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1936,28.0,-78.5,False,True,True
AL011937,UNNAMED,19370729,0,,TD,26.5,-85.7,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937,40.0,-51.0,False,True,True
AL031937,UNNAMED,19370830,1200,,TS,29.0,-80.5,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937,28.6,-79.7,False,True,True
AL071937,UNNAMED,19370920,600,,TS,29.4,-87.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1937,29.3,-88.3,False,True,True
AL071938,UNNAMED,19381014,0,,TS,25.1,-86.9,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1938,25.2,-87.7,False,True,True
AL011939,UNNAMED,19390614,0,,TS,25.2,-86.0,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1939,24.2,-85.9,False,True,True
AL011939,UNNAMED,19390616,1200,,TS,30.2,-87.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1939,29.6,-87.7,False,True,True
AL021939,UNNAMED,19390811,2300,L,HU,27.2,-80.2,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1939,26.7,-79.3,False,True,True
AL021940,UNNAMED,19400803,1200,,TD,28.5,-83.1,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1940,43.5,-61.5,False,True,True
