Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,In_Florida
AL091953,FLORENCE,19530926,1500,L,HU,30.3,-86.2,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL121953,HAZEL,19531009,1500,L,HU,26.7,-82.2,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL121953,HAZEL,19531009,1600,L,HU,26.7,-82.1,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1953,True
AL071956,FLOSSY,19560925,0,L,HU,30.4,-86.4,80,974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1956,True
AL111956,UNNAMED,19561015,2100,L,TS,25.2,-80.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1956,True
AL011957,UNNAMED,19570609,30,L,TS,30.1,-84.2,45,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1957,True
AL051957,DEBBIE,19570908,1700,L,TS,30.3,-86.1,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1957,True
AL031959,UNNAMED,19590618,800,L,TS,28.0,-82.8,40,1002,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959,True
AL101959,IRENE,19591008,1000,L,TS,30.3,-87.6,40,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959,True
AL111959,JUDITH,19591018,1400,L,TS,26.7,-82.3,55,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1959,True
AL031960,BRENDA,19600729,600,L,TS,29.7,-83.5,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1960,True
AL051960,DONNA,19600910,700,L,HU,24.8,-80.9,125,930,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1960,True
AL051960,DONNA,19600910,1600,L,HU,25.9,-81.6,105,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1960,True
AL051964,CLEO,19640827,800,L,HU,25.8,-80.1,95,968,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1964,True
AL061964,DORA,19640910,600,L,HU,29.9,-81.3,95,966,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,1964,True
AL111964,ISBELL,19641014,2100,L,HU,25.8,-81.4,90,970,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1964,True
AL011965,UNNAMED,19650615,1100,L,TS,30.4,-86.9,50,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1965,True
AL031965,BETSY,19650908,1100,L,HU,25.0,-80.5,100,952,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1965,True
AL091965,UNNAMED,19651018,1500,L,TS,29.4,-81.1,55,1004,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1965,True
AL011966,ALMA,19660609,2100,L,HU,30.1,-84.2,75,977,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,1966,True
AL091966,INEZ,19661004,1800,L,HU,25.0,-80.5,85,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,1966,True
AL091966,INEZ,19661004,2300,L,HU,24.7,-81.3,85,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1966,True
AL091966,INEZ,19661005,200,L,HU,24.6,-81.8,85,988,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,1966,True
AL121966,UNNAMED,19660701,2200,L,TS,29.3,-83.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1966,True
AL011968,ABBY,19680604,1200,L,TS,26.7,-82.3,55,992,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968,True
AL011968,ABBY,19680606,2200,L,TS,30.4,-81.4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1968,True
AL141968,GLADYS,19681019,400,L,HU,28.7,-82.7,85,978,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1968,True
AL231969,UNNAMED,19691001,1600,L,SS,30.4,-86.8,40,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1969,True
AL241969,JENNY,19691002,2100,L,TS,26.1,-81.8,40,1001,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1969,True
AL021970,BECKY,19700722,1000,L,TS,29.7,-85.3,40,1007,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1970,True
AL041983,BARRY,19830825,1100,L,TD,27.9,-80.6,30,1013,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1983,True
AL111985,ISABEL,19851010,2100,L,TS,30.6,-81.4,35,1008,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1985,True
AL131985,KATE,19851121,2230,L,HU,30.0,-85.4,85,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1985,True
AL131987,FLOYD,19871012,2100,L,HU,25.1,-80.5,65,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1987,True
AL121988,KEITH,19881123,700,L,TS,27.3,-82.6,55,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1988,True
AL041992,ANDREW,19920824,840,L,HU,25.5,-80.2,145,926,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1992,True
AL041992,ANDREW,19920824,905,L,HU,25.5,-80.3,145,922,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1992,True
AL011994,ALBERTO,19940703,1500,L,TS,30.4,-86.5,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL031994,BERYL,19940816,0,L,TS,30.0,-85.6,50,1000,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL121994,GORDON,19941115,1300,L,TS,24.6,-81.7,45,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL121994,GORDON,19941116,1300,L,TS,26.5,-81.9,45,996,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL121994,GORDON,19941121,300,L,TD,28.5,-80.6,25,1011,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1994,True
AL011995,ALLISON,19950605,1400,L,TS,29.9,-84.4,60,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995,True
AL011995,ALLISON,19950605,1500,L,TS,30.1,-84.2,55,991,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995,True
AL051995,ERIN,19950802,615,L,HU,27.7,-80.3,75,984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,1995,True
AL051995,ERIN,19950803,1600,L,HU,30.3,-87.2,75,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1995,True
AL111995,JERRY,19950823,1800,L,TS,27.0,-80.2,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1995,True
AL171995,OPAL,19951004,2200,L,HU,30.3,-87.1,100,942,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,1995,True
AL101996,JOSEPHINE,19961008,330,L,TS,30.0,-83.9,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1996,True
AL051998,EARL,19980903,600,L,HU,30.1,-85.7,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,1998,True
